Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
1600000000100982645,60f43885-4708-48b6-a351-7864f6faace5,spicy peanuts,1600000000100982646,,2.50,10/6/2025,No,No,028400261548,
1600000000100317956,61078495-9cd9-4728-a7ee-b7b9f758b103,skittles wild berry,1600000000100317957,,3.00,10/6/2025,No,No,040000001621,
1600000000047746176,6258d494-f7bb-4950-a911-a54423b353ab,No cucumbers,1600000000047773755,,0.00,9/17/2025,No,Yes,,
1600000000049295138,62687222-9e50-45cc-ade0-0825e0e2a082,Chicken Pita Pocket,1600000000049392625,,14.00,9/18/2025,No,No,,
1600000000049302114,62d3b48f-c0e3-4a10-833a-938d503a9fbc,sprite,1600000000049345968,,3.00,9/18/2025,No,No,,
1600000000047764555,62f28309-8952-4426-aa99-7f606a267dea,$tomato,1600000000047758442,,0.25,9/17/2025,No,Yes,,
1600000000047729896,6513332f-4774-4527-b142-ffdd98f55524,$swiss,1600000000047758433,,1.00,9/17/2025,No,Yes,,
1600000000047729894,65aaaeab-2ffe-4d25-9224-4994267f85d7,$pickles,1600000000047758431,,0.50,9/17/2025,No,Yes,,
1600000000100984807,6841b07a-500a-4398-80ef-af003a0cb327,pain au chocolat,1600000000100984808,,2.50,10/6/2025,No,No,850004281123,
1600000000100984803,693007e3-89b0-4272-b71e-3d20af452bb0,double stuf oreo mini,1600000000100984804,,1.25,10/6/2025,No,No,044000060718,
1600000000867432005,6930d10f-ba1a-468d-8247-58791afa72da,Protein Powder,1600000000867432006,,3.00,1/5/2026,No,No,,
1600000000100984861,6993f501-3d3d-4212-a92a-36a43e0a3c84,sour cream & onion,1600000000100984862,,1.00,10/6/2025,No,No,028400090889,
1600000000100984845,69b6c683-8cdd-4460-b0be-6233254ad455,3 musketeers,1600000000100984846,,3.00,10/6/2025,No,No,040000422082,
1600000000047664738,6b1bf6fe-ce5b-426c-913a-87bcfeb678ac,Italian,1600000000047648849,,0.00,9/17/2025,No,Yes,,
1600000000047764551,6b3e6d1f-348b-4361-941f-550118d82a9d,$bacon,1600000000047758438,,3.00,9/17/2025,No,Yes,,
1600000000100259606,6c0991b3-feda-4463-be89-ec481515a840,chili roasted,1600000000100259607,,2.50,10/6/2025,No,No,014113910934,
1600000000047276819,6ce645f7-35cb-42fe-97da-03e3a45b8ffd,Cappuccino,1600000000047483580,,5.00,9/17/2025,No,No,,
1600000000047526506,6d318963-9584-4df3-852a-fb87d0fbe2b5,French Dip Panini,1600000000047495275,,14.00,9/17/2025,No,No,987898765566,
1600000000047717962,6dfd84d6-fe2d-4097-8cf3-5407581d5a14,$black beans,1600000000047740706,,0.25,9/17/2025,No,Yes,,
1600000000047526513,6e3dbb5e-abc5-4c5d-8cef-7dcde7102a58,Southwest Wrap,1600000000047495282,,14.00,9/17/2025,No,No,645829287593,
1600000000047670872,6e52b3db-7e5b-48ec-938c-1121f2061866,flour tortilla,1600000000047728368,,0.00,9/17/2025,No,Yes,,
